numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA10350		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	bocagei		Ecuador	Sucumbíos	Desconocido	Desconocido	El Reventador 	ECUADOR: Sucumbíos: El Reventador.   	Georreferenciación			WGS 84	-0.046259	-77.52915		1995-08-15T00:00:00	1995-08-15T00:00:00					Néstor Acosta	2010-12-03T00:00:00	0			
QCAZA10372		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	anthonyi		Ecuador	El Oro	Desconocido	Desconocido	El Progreso, 15 km vía  Pan De  Azúcar	ECUADOR: El Oro: El Progreso, Pasaje, 15 Km vía  Pan Dea Azúcar.  Altitud: 90msnm - Información Ecológica:  En plantación de cacao.	Georreferenciación	90	90	WGS 84	-3.288330	-79.75812		1996-10-03T00:00:00	1996-10-03T00:00:00					Néstor Acosta	2018-03-16T00:00:00	0			
QCAZA104		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	sylvatica		Ecuador	Esmeraldas	Desconocido	Desconocido	La Boca	ECUADOR: Esmeraldas: La Boca.   	Georreferenciación			WGS 84	1.133	-78.77400		1985-06-01T00:00:00	1985-06-01T00:00:00					Giovanni Onore		0			
QCAZA10423		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Ameerega	bilinguis		Ecuador	Orellana	Orellana	Taracoa	Comunidad Samona Yuturi, Puerto Yuturi	ECUADOR: Napo: Yuturi.  Altitud: 230msnm - 	Georreferenciación	230	230	WGS 84	-0.557258	-76.007845		1996-12-12T00:00:00	1996-12-12T00:00:00					Julio Molineros		0			
QCAZA10451	CP306	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Desconocido	Desconocido	Parroquia Sto Domingo-Río Onzole	ECUADOR: Pichincha: Sto. Domingo-Río Onzole.  Altitud: 110msnm - Información Ecológica: Bosque secundario, entre hojarasca en pendiente.	Georreferenciación	110	110	WGS 84	0.7105160	-79.09519		1997-01-16T00:00:00	1997-01-16T00:00:00					Néstor Acosta	2002-03-01T00:00:00	0			
QCAZA10452	CP309	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Desconocido	Desconocido	Santo Domingo-Río Onzole	ECUADOR: Pichincha: Sto. Domingo-Río Onzole.  Altitud: 110msnm - Información Ecológica: Bosque secundario, entre hojarasca en pendiente.	Georreferenciación	110	110	WGS 84	0.8002500	-79.07088		1997-01-16T00:00:00	1997-01-16T00:00:00					Néstor Acosta	2002-03-01T00:00:00	0			
QCAZA10468		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Carchi	Desconocido	Desconocido	Lita	ECUADOR: Imbabura: Lita. mantenido en laboratorio terrario 42, hoja 2.  	Georreferenciación	585	585	WGS 84	0.86956	-78.45017999999999		1997-03-10T00:00:00	1997-03-10T00:00:00					Elicio Tapia		0			
QCAZA10472		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	infraguttatus		Ecuador	Desconocido	Desconocido	Desconocido	Nacidos en cautiverio en laboratorio	ECUADOR	Información insuficiente o imprecisa para georeferenciación			Desconocido				1996-10-01T00:00:00	1996-10-01T00:00:00							0			
QCAZA10473		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en terrario 8 hoja 1 Altitud: 0msnm - Información Ecológica: Colectado en quebrada junto a una poza de agua.	Georreferenciación	0	0	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10474		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en terrario 8 hoja 1 Altitud: 0msnm - Información Ecológica: Colectado en quebrada junto a una poza de agua.	Georreferenciación	0	0	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
